movieId,average_rating,rating_count,title
318,4.436066513761468,3488,"Shawshank Redemption, The (1994)"
858,4.354252873563218,2175,"Godfather, The (1972)"
1221,4.3137809187279155,1415,"Godfather: Part II, The (1974)"
50,4.309235269536147,2393,"Usual Suspects, The (1995)"
527,4.2760314341846755,2545,Schindler's List (1993)
1193,4.236369680851064,1504,One Flew Over the Cuckoo's Nest (1975)
2959,4.226284584980237,2530,Fight Club (1999)
750,4.220139494333043,1147,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
6016,4.214880952380953,840,City of God (Cidade de Deus) (2002)
904,4.214731585518102,801,Rear Window (1954)
2019,4.2091666666666665,600,Seven Samurai (Shichinin no samurai) (1954)
1203,4.207423580786026,687,12 Angry Men (1957)
5618,4.203007518796992,931,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
912,4.2024567788899,1099,Casablanca (1942)
1213,4.186253561253562,1404,Goodfellas (1990)
296,4.182416617905208,3418,Pulp Fiction (1994)
1204,4.177655677655678,546,Lawrence of Arabia (1962)
2329,4.173374613003096,1292,American History X (1998)
1197,4.17144678138942,1569,"Princess Bride, The (1987)"
79132,4.166056166056166,1638,Inception (2010)
